country,wave,year,n_resp,straddles
ARG,4,1999,1280,FALSE
ARG,5,2006,1002,FALSE
ARG,6,2013,1030,FALSE
ARG,7,2017,1003,FALSE
AUS,5,2005,1421,FALSE
AUS,6,2012,1477,FALSE
AUS,7,2018,1813,FALSE
BRA,5,2006,1500,FALSE
BRA,6,2014,1486,FALSE
BRA,7,2018,1762,FALSE
CAN,4,2000,1931,FALSE
CAN,5,2006,2164,FALSE
CAN,7,2020,4018,FALSE
CHL,4,2000,1200,FALSE
CHL,5,2006,1000,FALSE
CHL,6,2012,1000,FALSE
CHL,7,2018,1000,FALSE
CHN,4,2001,1000,FALSE
CHN,5,2007,1991,FALSE
CHN,6,2013,2300,FALSE
CHN,7,2018,3036,FALSE
COL,5,2005,3025,FALSE
COL,6,2012,1512,FALSE
COL,7,2018,1520,FALSE
CYP,5,2006,1050,FALSE
CYP,6,2011,1000,FALSE
CYP,7,2019,1000,FALSE
DEU,5,2006,2064,FALSE
DEU,6,2013,2046,FALSE
DEU,7,2018,1528,FALSE
EGY,4,2001,3000,FALSE
EGY,5,2008,3051,FALSE
EGY,6,2013,1523,FALSE
EGY,7,2018,1200,FALSE
HKG,5,2005,1252,FALSE
HKG,6,2014,1000,FALSE
HKG,7,2018,2075,FALSE
IDN,4,2001,1000,FALSE
IDN,5,2006,2015,FALSE
IDN,7,2018,3200,FALSE
IND,4,2001,2002,FALSE
IND,5,2006,2001,FALSE
IND,6,2012,4078,FALSE
IND,7,2023,1692,FALSE
IRN,4,2000,2532,FALSE
IRN,5,2007,2667,FALSE
IRN,7,2020,1499,FALSE
IRQ,4,2004,2325,FALSE
IRQ,5,2006,2701,FALSE
IRQ,6,2013,1200,FALSE
IRQ,7,2018,1200,FALSE
JOR,4,2001,1223,FALSE
JOR,5,2007,1200,FALSE
JOR,6,2014,1200,FALSE
JOR,7,2018,1203,FALSE
JPN,4,2000,1362,FALSE
JPN,5,2005,1096,FALSE
JPN,6,2010,2443,FALSE
JPN,7,2019,1353,FALSE
KGZ,4,2003,1043,FALSE
KGZ,6,2011,1500,FALSE
KGZ,7,2020,1200,FALSE
KOR,4,2001,1200,FALSE
KOR,5,2005,1200,FALSE
KOR,6,2010,1200,FALSE
KOR,7,2018,1245,FALSE
MAR,4,2001,1251,FALSE
MAR,5,2007,1200,FALSE
MAR,6,2011,1200,FALSE
MAR,7,2021,1200,FALSE
MEX,4,2000,1535,FALSE
MEX,5,2005,1560,FALSE
MEX,6,2012,2000,FALSE
MEX,7,2018,1741,FALSE
MYS,5,2006,1201,FALSE
MYS,6,2012,1300,FALSE
MYS,7,2018,1313,FALSE
NGA,4,2000,2022,FALSE
NGA,6,2012,1759,FALSE
NGA,7,2018,1237,FALSE
NLD,5,2006,1050,FALSE
NLD,6,2012,1902,FALSE
NLD,7,2022,2145,FALSE
NZL,5,2004,954,FALSE
NZL,6,2011,841,FALSE
NZL,7,2020,1057,FALSE
PAK,4,2001,2000,FALSE
PAK,6,2012,1200,FALSE
PAK,7,2018,1995,FALSE
PER,4,2001,1501,FALSE
PER,5,2006,1500,FALSE
PER,6,2012,1210,FALSE
PER,7,2018,1400,FALSE
PHL,4,2001,1200,FALSE
PHL,6,2012,1200,FALSE
PHL,7,2019,1200,FALSE
ROU,5,2005,1776,FALSE
ROU,6,2012,1503,FALSE
ROU,7,2018,1257,FALSE
RUS,5,2006,2033,FALSE
RUS,6,2011,2500,FALSE
RUS,7,2017,1810,FALSE
SGP,4,2002,1512,FALSE
SGP,6,2012,1972,FALSE
SGP,7,2020,2012,FALSE
SRB,4,2001,1200,FALSE
SRB,5,2006,1220,FALSE
SRB,7,2017,1046,FALSE
THA,5,2007,1534,FALSE
THA,6,2013,1200,FALSE
THA,7,2018,1500,FALSE
TUR,4,2001,3401,FALSE
TUR,5,2007,1346,FALSE
TUR,6,2011,1605,FALSE
TUR,7,2018,2415,FALSE
TWN,5,2006,1227,FALSE
TWN,6,2012,1238,FALSE
TWN,7,2019,1223,FALSE
UKR,5,2006,1000,FALSE
UKR,6,2011,1500,FALSE
UKR,7,2020,1289,FALSE
URY,5,2006,1000,FALSE
URY,6,2011,1000,FALSE
URY,7,2022,1000,FALSE
USA,4,1999,1200,FALSE
USA,5,2006,1249,FALSE
USA,6,2011,2232,FALSE
USA,7,2017,2596,FALSE
VNM,4,2001,1000,FALSE
VNM,5,2006,1495,FALSE
VNM,7,2020,1200,FALSE
ZWE,4,2001,1002,FALSE
ZWE,6,2012,1500,FALSE
ZWE,7,2020,1215,FALSE
